model,split,n,mean_ic,ic_t_nw,ic_p,mean_top2_bottom2,spread_t_nw,spread_p,last_b_short,last_b_long
expanding,dev,2933,0.08796454142516195,2.4107823391280854,0.015918345182913823,0.012318483530542,2.806109648125062,0.00501436261550646,0.09099758098153508,0.06005030350744513
expanding,validation,1563,0.00089571337172105,0.019745026643941812,0.9842467717030279,0.0010709498636481453,0.229924543144052,0.8181504045157246,0.041920466176284546,0.049400380189404736
expanding,holdout,1457,0.08901853122855181,1.7576779344511082,0.07880232437222899,0.0035365603619483565,0.8200285089102499,0.41219985520966845,0.016350213166587847,0.06354745263682325
expanding,all,5953,0.06536200235175542,2.616439853057418,0.008885201678088912,0.007215987784196287,2.6571406140823033,0.007880656509909717,0.016350213166587847,0.06354745263682325
rolling756,dev,2933,0.07534947153085578,2.081212026213822,0.03741450325624581,0.0114615910814721,2.542267664437615,0.011013579560213434,0.04079876006884392,0.12029252616924678
rolling756,validation,1563,-0.07248880358285348,-1.5450608209362608,0.12233155254763217,-0.006500232537934055,-1.2526008309227208,0.21035101232280679,0.03557948981816616,-0.0282400171361217
rolling756,holdout,1457,0.02896362388469458,0.6460312686890904,0.5182591053502597,0.002198268401098353,0.5779641418117636,0.5632883288253809,-0.06091950597222206,0.15207277248658363
rolling756,all,5953,0.025180581219553168,1.0256753273312906,0.3050446478449803,0.004478390768615327,1.5993943256987808,0.10973301231456042,-0.06091950597222206,0.15207277248658363
rolling1260,dev,2933,0.06825775656324581,1.8870534292283574,0.059153139672001524,0.010228066930540545,2.32526474803723,0.020057808044934837,0.08372673013726854,0.09778570434552576
rolling1260,validation,1563,0.008445297504798464,0.17836160850038066,0.8584389977947179,0.0007662458948421456,0.1599598419287164,0.8729127083062354,-0.04414991702421784,0.05448937150915721
rolling1260,holdout,1457,-0.006932052161976664,-0.15942965233810796,0.8733303784914627,-0.0005811566785962248,-0.1687447427016517,0.8659974238032951,-0.06506646253616231,0.1073573839930808
rolling1260,all,5953,0.034150848311775575,1.4069161988354792,0.15945223957676424,0.005098239099647067,1.917464114114452,0.055178995788290094,-0.06506646253616231,0.1073573839930808
